ID,Category,Name,Method,MethodArgument,RegistryPath,RegistryItem,ClassName,Namespace,Property,DefaultValue,RecommendedValue,Operator,Severity
2.3.10.8,Security Options,Network access: Remotely accessible registry paths,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedExactPaths,Machine,,,,System\CurrentControlSet\Control\ProductOptions System\CurrentControlSet\Control\Server Applications Software\Microsoft\Windows NT\CurrentVersion,System\CurrentControlSet\Control\ProductOptions;System\CurrentControlSet\Control\Server Applications;Software\Microsoft\Windows NT\CurrentVersion,=,Medium
2.3.10.9,Security Options,Network access: Remotely accessible registry paths and sub-paths,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths,Machine,,,,System\CurrentControlSet\Control\Print\Printers System\CurrentControlSet\Services\Eventlog Software\Microsoft\OLAP Server Software\Microsoft\Windows NT\CurrentVersion\Print Software\Microsoft\Windows NT\CurrentVersion\Windows System\CurrentControlSet\Control\ContentIndex System\CurrentControlSet\Control\Terminal Server System\CurrentControlSet\Control\Terminal Server\UserConfig System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration Software\Microsoft\Windows NT\CurrentVersion\Perflib System\CurrentControlSet\Services\SysmonLog,System\CurrentControlSet\Control\Print\Printers;System\CurrentControlSet\Services\Eventlog;Software\Microsoft\OLAP Server;Software\Microsoft\Windows NT\CurrentVersion\Print;Software\Microsoft\Windows NT\CurrentVersion\Windows;System\CurrentControlSet\Control\ContentIndex;System\CurrentControlSet\Control\Terminal Server;System\CurrentControlSet\Control\Terminal Server\UserConfig;System\CurrentControlSet\Control\Terminal Server\DefaultUserConfiguration;Software\Microsoft\Windows NT\CurrentVersion\Perflib;System\CurrentControlSet\Services\SysmonLog,=,Medium
2.3.10.12,Security Options,Network access: Shares that can be accessed anonymously,Registry,,HKLM:\System\CurrentControlSet\Services\LanManServer\Parameters,NullSessionShares,,,,,,=,Medium
2.3.10.13,Security Options,Network access: Sharing and security model for local accounts,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,ForceGuest,,,,0,0,=,Medium
2.3.11.1,Security Options,Network security: Allow Local System to use computer identity for NTLM,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa,UseMachineId,,,,0,1,=,Medium
2.3.11.3,Security Options,Network security: Allow PKU2U authentication requests to this computer to use online identities,Registry,,HKLM:\System\CurrentControlSet\Control\Lsa\pku2u,AllowOnlineID,,,,,0,=,Medium
2.3.11.6,Security Options,Network security: Force logoff when logon hours expires,secedit,System Access\ForceLogoffWhenHourExpire,,,,,,0,1,=,Low
2.3.13.1,Security Options,Shutdown: Allow system to be shut down without having to log on,Registry,,HKLM:\Software\Microsoft\Windows\CurrentVersion\Policies\System,ShutdownWithoutLogon,,,,1,0,=,Medium
2.3.15.1,Security Options,System objects: Require case insensitivity for non-Windows subsystem,Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Session Manager\Kernel,ObCaseInsensitive,,,,1,1,=,Medium
2.3.17.7,Security Options,User Account Control: Switch to the secure desktop when prompting for elevation,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,PromptOnSecureDesktop,,,,1,1,=,Medium
V-93493,Security Options,System cryptography: Force strong key protection for user keys stored on the computer,Registry,,HKLM:\SOFTWARE\Policies\Microsoft\Cryptography,ForceKeyProtection,,,,,1,=,Medium
V-93511,Security Options,"System cryptography: Use FIPS compliant algorithms for encryption, hashing, and signing",Registry,,HKLM:\SYSTEM\CurrentControlSet\Control\Lsa\FIPSAlgorithmPolicy,Enabled,,,,,1,=,Medium
V-93521,Security Options,User Account Control: Allow UIAccess applications to prompt for elevation without using the secure desktop,Registry,,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,EnableUIADesktopToggle,,,,,0,=,Medium
10301,User Rights Assignment,Access Credential Manager as a trusted caller,accesschk,SeTrustedCredManAccessPrivilege,,,,,,,,=,Medium
10302,User Rights Assignment,Access this computer from the network,accesschk,SeNetworkLogonRight,,,,,,BUILTIN\Backup Operators;BUILTIN\Users;BUILTIN\Administrators;Everyone,NT AUTHORITY\Authenticated Users;BUILTIN\Administrators,=,Medium
10303,User Rights Assignment,Act as part of the operating system,accesschk,SeTcbPrivilege,,,,,,,,=,Medium
10304,User Rights Assignment,Allow log on locally,accesschk,SeInteractiveLogonRight,,,,,,BUILTIN\Backup Operators;BUILTIN\Users;BUILTIN\Administrators;COMPUTERNAME\Guest,BUILTIN\Administrators,=,Medium
10305,User Rights Assignment,Back up files and directories,accesschk,SeBackupPrivilege,,,,,,BUILTIN\Administrators;BUILTIN\Backup Operators,BUILTIN\Administrators,=,Medium
10306,User Rights Assignment,Create a pagefile,accesschk,SeCreatePagefilePrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
10307,User Rights Assignment,Create a token object,accesschk,SeCreateTokenPrivilege,,,,,,,,=,Medium
10308,User Rights Assignment,Create global objects,accesschk,SeCreateGlobalPrivilege,,,,,,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium
10309,User Rights Assignment,Create permanent shared objects,accesschk,SeCreatePermanentPrivilege,,,,,,,,=,Medium
10310,User Rights Assignment,Debug programs,accesschk,SeDebugPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
10311,User Rights Assignment,Deny access to this computer from the network,accesschk,SeDenyNetworkLogonRight,,,,,,COMPUTERNAME\Guest,,=,Medium
10312,User Rights Assignment,Deny log on through Remote Desktop Services,accesschk,SeDenyRemoteInteractiveLogonRight,,,,,,,,=,Medium
10313,User Rights Assignment,Enable computer and user accounts to be trusted for delegation,accesschk,SeEnableDelegationPrivilege,,,,,,,,=,Medium
10314,User Rights Assignment,Force shutdown from a remote system,accesschk,SeRemoteShutdownPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
10315,User Rights Assignment,Impersonate a client after authentication,accesschk,SeImpersonatePrivilege,,,,,,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,NT AUTHORITY\SERVICE;BUILTIN\Administrators;NT AUTHORITY\NETWORK SERVICE;NT AUTHORITY\LOCAL SERVICE,=,Medium
10316,User Rights Assignment,Load and unload device drivers,accesschk,SeLoadDriverPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
10317,User Rights Assignment,Lock pages in memory,accesschk,SeLockMemoryPrivilege,,,,,,,,=,Medium
10318,User Rights Assignment,Manage auditing and security log,accesschk,SeSecurityPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
10319,User Rights Assignment,Modify firmware environment values,accesschk,SeSystemEnvironmentPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
10320,User Rights Assignment,Perform volume maintenance tasks,accesschk,SeManageVolumePrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
10321,User Rights Assignment,Profile single process,accesschk,SeProfileSingleProcessPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
10322,User Rights Assignment,Restore files and directories,accesschk,SeRestorePrivilege,,,,,,BUILTIN\Backup Operators;BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
10323,User Rights Assignment,Take ownership of files or other objects,accesschk,SeTakeOwnershipPrivilege,,,,,,BUILTIN\Administrators,BUILTIN\Administrators,=,Medium
V-93011,User Rights Assignment,Deny log on as a batch job,accesschk,SeDenyBatchLogonRight,,,,,,,Domain Admins;Enterprise Admins,=,Medium
V-93013,User Rights Assignment,Deny log on as a service,accesschk,SeDenyServiceLogonRight,,,,,,,Domain Admins;Enterprise Admins,=,Medium
10400,Advanced Audit Policy Configuration,Credential Validation,auditpol,{0CCE923F-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success and Failure,=,Low
10401,Advanced Audit Policy Configuration,Security Group Management,auditpol,{0CCE9237-69AE-11D9-BED3-505054503030},,,,,,Success,Success,contains,Low
10402,Advanced Audit Policy Configuration,User Account Management,auditpol,{0CCE9235-69AE-11D9-BED3-505054503030},,,,,,Success,Success and Failure,=,Low
10403,Advanced Audit Policy Configuration,Plug and Play Events,auditpol,{0cce9248-69ae-11d9-bed3-505054503030},,,,,,No Auditing,Success,contains,Low
10404,Advanced Audit Policy Configuration,Process Creation,auditpol,{0CCE922B-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success,contains,Low
10405,Advanced Audit Policy Configuration,Account Lockout,auditpol,{0CCE9217-69AE-11D9-BED3-505054503030},,,,,,Success,Failure,contains,Low
10406,Advanced Audit Policy Configuration,Group Membership,auditpol,{0cce9249-69ae-11d9-bed3-505054503030},,,,,,No Auditing,Success,contains,Low
10407,Advanced Audit Policy Configuration,Logon,auditpol,{0CCE9215-69AE-11D9-BED3-505054503030},,,,,,Success and Failure,Success and Failure,=,Low
10408,Advanced Audit Policy Configuration,Other Logon/Logoff Events,auditpol,{0CCE921C-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success and Failure,=,Low
10409,Advanced Audit Policy Configuration,Special Logon,auditpol,{0CCE921B-69AE-11D9-BED3-505054503030},,,,,,Success,Success,contains,Low
10410,Advanced Audit Policy Configuration,Detailed File Share,auditpol,{0CCE9244-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Failure,contains,Low
10411,Advanced Audit Policy Configuration,File Share,auditpol,{0CCE9224-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success and Failure,=,Low
10412,Advanced Audit Policy Configuration,Other Object Access Events,auditpol,{0CCE9227-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success and Failure,=,Low
10413,Advanced Audit Policy Configuration,Removable Storage,auditpol,{0CCE9245-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success and Failure,=,Low
10414,Advanced Audit Policy Configuration,Audit Policy Change,auditpol,{0CCE922F-69AE-11D9-BED3-505054503030},,,,,,Success,Success,contains,Low
10415,Advanced Audit Policy Configuration,Authentication Policy Change,auditpol,{0CCE9230-69AE-11D9-BED3-505054503030},,,,,,Success,Success,contains,Low
10416,Advanced Audit Policy Configuration,MPSSVC Rule-Level Policy Change,auditpol,{0CCE9232-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success and Failure,=,Low
10417,Advanced Audit Policy Configuration,Other Policy Change Events,auditpol,{0CCE9234-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Failure,contains,Low
10418,Advanced Audit Policy Configuration,Sensitive Privilege Use,auditpol,{0CCE9228-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success and Failure,=,Low
10419,Advanced Audit Policy Configuration,Other System Events,auditpol,{0CCE9214-69AE-11D9-BED3-505054503030},,,,,,Success and Failure,Success and Failure,=,Low
10420,Advanced Audit Policy Configuration,Security State Change,auditpol,{0CCE9210-69AE-11D9-BED3-505054503030},,,,,,Success,Success,contains,Low
10421,Advanced Audit Policy Configuration,Security System Extension,auditpol,{0CCE9211-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success,contains,Low
10422,Advanced Audit Policy Configuration,System Integrity,auditpol,{0CCE9212-69AE-11D9-BED3-505054503030},,,,,,Success and Failure,Success and Failure,=,Low
17.2.1,Advanced Audit Policy Configuration,Application Group Management,auditpol,{0CCE9239-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success and Failure,=,Low
17.2.2,Advanced Audit Policy Configuration,Computer Account Management,auditpol,{0CCE9236-69AE-11D9-BED3-505054503030},,,,,,Success,Success,contains,Low
17.2.3,Advanced Audit Policy Configuration,Distribution Group Management,auditpol,{0CCE9238-69AE-11D9-BED3-505054503030},,,,,,,Success,contains,Low
17.2.4,Advanced Audit Policy Configuration,Other Account Management Events,auditpol,{0CCE923A-69AE-11D9-BED3-505054503030},,,,,,,Success,contains,Low
17.4.1,Advanced Audit Policy Configuration,Directory Service Access,auditpol,{0CCE923B-69AE-11D9-BED3-505054503030},,,,,,Success,Failure,contains,Low
17.4.2,Advanced Audit Policy Configuration,Directory Service Changes,auditpol,{0CCE923C-69AE-11D9-BED3-505054503030},,,,,,,Success,contains,Low
17.5.3,Advanced Audit Policy Configuration,Logoff,auditpol,{0CCE9216-69AE-11D9-BED3-505054503030},,,,,,Success,Success,contains,Low
17.7.3,Advanced Audit Policy Configuration,Authorization Policy Change,auditpol,{0CCE9231-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success,contains,Low
17.9.1,Advanced Audit Policy Configuration,IPsec Driver,auditpol,{0CCE9213-69AE-11D9-BED3-505054503030},,,,,,No Auditing,Success and Failure,=,Low
5.2.1,System Services,Print Spooler (Spooler) (MS only),Registry,,HKLM:\SYSTEM\CurrentControlSet\Services\Spooler,Start,,,,2,4,=,Medium
5.2.2,System Services,Print Spooler (Spooler) (Service Startup type) (MS only),service,Spooler,,,,,,Automatic,Disabled,=,Medium
10501,Windows Firewall,"EnableFirewall (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,EnableFirewall,,,,0,1,=,Medium
10503,Windows Firewall,"Inbound Connections (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,DefaultInboundAction,,,,1,1,=,Medium
10505,Windows Firewall,"Outbound Connections (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,DefaultOutboundAction,,,,0,0,=,Medium
10515,Windows Firewall,"EnableFirewall (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,EnableFirewall,,,,0,1,=,Medium
10517,Windows Firewall,"Inbound Connections (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,DefaultInboundAction,,,,1,1,=,Medium
10519,Windows Firewall,"Outbound Connections (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,DefaultOutboundAction,,,,0,0,=,Medium
10529,Windows Firewall,"EnableFirewall (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,EnableFirewall,,,,0,1,=,Medium
10531,Windows Firewall,"Inbound Connections (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DefaultInboundAction,,,,1,1,=,Medium
10533,Windows Firewall,"Outbound Connections (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DefaultOutboundAction,,,,0,0,=,Medium
9.1.4,Windows Firewall,"Display a notification (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,DisableNotifications,,,,0,1,=,Low
9.1.5,Windows Firewall,"Name of log file (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogFilePath,,,,%SystemRoot%\System32\logfiles\firewall\pfirewall.log,%SystemRoot%\System32\logfiles\firewall\domainfw.log,=,Low
9.1.6,Windows Firewall,"Log size limit (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium
9.1.7,Windows Firewall,"Log dropped packets (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium
9.1.8,Windows Firewall,"Log successful connections (Domain Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,LogSuccessfulConnections,,,,0,1,=,Low
9.2.4,Windows Firewall,"Display a notification (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile,DisableNotifications,,,,0,1,=,Low
9.2.5,Windows Firewall,"Name of log file (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogFilePath,,,,%SystemRoot%\System32\logfiles\firewall\pfirewall.log,%SystemRoot%\System32\logfiles\firewall\privatefw.log,=,Low
9.2.6,Windows Firewall,"Log size limit (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogFileSize,,,,4096,16384,>=,Medium
9.2.7,Windows Firewall,"Log dropped packets (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogDroppedPackets,,,,0,1,=,Medium
9.2.8,Windows Firewall,"Log successful connections (Private Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PrivateProfile\Logging,LogSuccessfulConnections,,,,0,1,=,Low
9.3.4,Windows Firewall,"Display a notification (Public Profile, Policy)",Registry,,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\PublicProfile,DisableNotifications,,,,0,1,=,Low
